Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR
2023-07-21;28.8;67.0;0.0;6.6;1.0;1.0
2023-07-22;29.1;70.0;0.0;4.0;1.0;1.0
2023-07-23;29.0;68.0;0.0;6.0;1.0;1.0
2023-07-24;28.8;76.0;0.0;6.8;1.0;1.0
2023-07-25;28.0;78.0;;2.7;0.0;1.0
2023-07-26;28.0;74.0;0.0;3.3;1.0;1.0
2023-07-27;29.0;72.0;;1.5;1.0;1.0
2023-07-28;28.9;68.0;;1.0;1.0;1.0
2023-07-29;28.6;67.0;0.0;6.3;2.0;4.0
2023-07-30;28.5;66.0;0.0;6.0;2.0;1.0
2023-07-31;28.2;65.0;;4.8;1.0;1.0
2023-08-01;28.7;68.0;;6.0;2.0;4.0
2023-08-02;29.4;72.0;0.0;7.0;2.0;6.0
2023-08-03;29.4;75.0;0.0;0.7;1.0;1.0
2023-08-04;29.6;74.0;0.0;3.5;1.0;1.0
2023-08-05;29.4;71.0;;6.5;1.0;1.0
2023-08-06;28.8;73.0;0.0;6.8;2.0;1.0
2023-08-07;28.8;76.0;0.0;7.0;1.0;1.0
2023-08-08;29.0;77.0;;5.2;2.0;1.0
2023-08-09;28.7;75.0;0.0;7.0;0.0;1.0
2023-08-10;28.3;76.0;0.0;7.2;1.0;1.0
2023-08-11;28.6;74.0;0.0;6.7;2.0;1.0
2023-08-12;28.8;66.0;;5.0;1.0;1.0
2023-08-13;28.2;70.0;0.0;7.0;1.0;1.0
2023-08-14;28.4;72.0;0.0;6.7;2.0;1.0
2023-08-15;28.4;74.0;0.0;7.0;1.0;1.0
2023-08-16;28.8;72.0;;7.0;1.0;1.0
2023-08-17;28.2;70.0;;5.5;1.0;1.0
2023-08-18;28.2;71.0;0.0;7.2;2.0;1.0
2023-08-19;28.9;71.0;0.0;6.8;2.0;1.0
2023-08-20;29.4;72.0;;7.0;1.0;1.0
2023-08-21;29.2;68.0;0.0;6.8;1.0;1.0
2023-08-22;28.8;70.0;0.0;4.5;2.0;1.0
2023-08-23;29.0;68.0;0.0;4.5;2.0;1.0
2023-08-24;29.2;70.0;0.0;5.5;1.0;1.0
2023-08-25;28.8;74.0;;7.2;1.0;1.0
2023-08-26;29.1;74.0;0.0;7.4;1.0;1.0
2023-08-27;29.0;76.0;0.0;4.5;1.0;1.0
2023-08-28;28.7;71.0;1.8;5.0;1.0;1.0
2023-08-29;28.7;71.0;;5.0;0.0;1.0
2023-08-30;28.5;72.0;0.0;7.5;2.0;1.0
2023-08-31;28.2;73.0;0.0;7.5;1.0;1.0
2023-09-01;28.0;72.0;;7.0;1.0;1.0
2023-09-02;28.5;71.0;;7.4;1.0;1.0
2023-09-03;28.9;68.0;;4.7;1.0;1.0
2023-09-04;28.3;62.0;0.0;5.5;1.0;1.0
2023-09-05;28.4;63.0;;7.5;0.0;1.0
2023-09-06;28.7;65.0;0.0;8.0;0.0;1.0
2023-09-07;28.7;70.0;0.0;9.2;1.0;1.0
2023-09-08;29.0;74.0;0.0;9.3;1.0;1.0
2023-09-09;29.3;72.0;;8.0;1.0;1.0
2023-09-10;28.4;66.0;0.0;8.0;1.0;1.0
2023-09-11;29.1;66.0;0.0;6.7;1.0;1.0
2023-09-12;29.6;65.0;0.0;6.0;1.0;1.0
2023-09-13;29.5;67.0;;8.0;0.0;1.0
2023-09-14;29.2;64.0;;7.0;1.0;1.0
2023-09-15;29.5;65.0;0.0;8.2;1.0;1.0
2023-09-16;29.3;68.0;0.0;9.0;1.0;1.0
2023-09-17;29.1;70.0;0.0;8.0;1.0;1.0
2023-09-18;29.0;73.0;0.0;7.4;1.0;1.0
2023-09-19;29.7;72.0;0.0;8.2;0.0;1.0
2023-09-20;28.9;73.0;0.0;3.0;0.0;1.0
2023-09-21;29.3;70.0;0.0;8.0;1.0;1.0
2023-09-22;28.8;70.0;;7.0;1.0;1.0
2023-09-23;28.9;66.0;0.0;8.0;1.0;1.0
2023-09-24;28.7;72.0;0.0;3.6;1.0;1.0
2023-09-25;29.3;66.0;;6.0;1.0;1.0
2023-09-26;29.5;66.0;;9.0;0.0;1.0
2023-09-27;29.8;58.0;0.0;9.0;1.0;1.0
2023-09-28;30.0;58.0;0.0;9.8;1.0;1.0
2023-09-29;30.4;59.0;0.0;9.5;1.0;1.0
2023-09-30;29.1;70.0;;9.2;1.0;1.0
2023-10-01;28.9;72.0;0.0;8.0;1.0;1.0
2023-10-02;29.2;70.0;0.0;4.3;1.0;1.0
2023-10-03;29.2;67.0;0.0;4.8;2.0;1.0
2023-10-04;29.0;74.0;;8.0;1.0;1.0
2023-10-05;29.8;74.0;0.0;8.0;0.0;1.0
2023-10-06;29.3;76.0;;8.5;1.0;1.0
2023-10-07;29.6;74.0;0.0;4.4;1.0;1.0
2023-10-08;29.7;73.0;;4.9;1.0;1.0
2023-10-09;30.1;72.0;0.0;7.5;1.0;1.0
2023-10-10;30.7;65.0;0.0;8.0;1.0;1.0
2023-10-11;30.1;72.0;;7.0;1.0;1.0
2023-10-12;30.2;74.0;0.0;6.2;1.0;1.0
2023-10-13;30.1;74.0;0.0;7.6;2.0;1.0
2023-10-14;30.3;65.0;0.0;7.0;2.0;1.0
2023-10-15;30.8;61.0;;6.0;1.0;1.0
2023-10-16;30.1;69.0;0.0;5.7;1.0;1.0
2023-10-17;31.8;60.0;0.0;8.0;2.0;1.0
2023-10-18;30.3;62.0;0.0;7.6;2.0;1.0
2023-10-19;30.7;66.0;;7.5;1.0;1.0
2023-10-20;29.9;73.0;;6.4;2.0;1.0
2023-10-21;30.2;71.0;0.0;7.2;1.0;1.0
2023-10-22;30.4;65.0;;8.0;1.0;1.0
2023-10-23;;;;;;
2023-10-24;29.4;72.0;;8.0;1.0;1.0
2023-10-25;29.5;72.0;;2.0;1.0;1.0
2023-10-26;30.1;72.0;0.0;4.4;1.0;1.0
2023-10-27;30.1;72.0;0.0;7.0;0.0;1.0
2023-10-28;30.3;68.0;;7.0;1.0;1.0
2023-10-29;29.8;69.0;0.0;8.0;1.0;1.0
2023-10-30;30.7;67.0;0.0;7.8;1.0;1.0
2023-10-31;29.8;74.0;;6.5;1.0;1.0
2023-11-01;29.8;72.0;8.0;4.3;1.0;1.0
2023-11-02;30.3;71.0;0.0;3.5;1.0;1.0
2023-11-03;30.2;70.0;0.0;4.0;1.0;1.0
2023-11-04;28.2;80.0;;4.2;1.0;1.0
2023-11-05;28.7;80.0;28.0;1.5;1.0;1.0
2023-11-06;30.1;75.0;0.0;0.6;0.0;1.0
2023-11-07;30.4;71.0;0.0;5.2;2.0;1.0
2023-11-08;30.4;72.0;;3.2;1.0;1.0
2023-11-09;30.0;72.0;0.0;0.0;1.0;1.0
2023-11-10;29.2;79.0;0.0;0.0;1.0;1.0
2023-11-11;29.3;76.0;4.5;0.0;1.0;1.0
2023-11-12;30.1;71.0;0.0;0.0;1.0;1.0
2023-11-13;31.2;67.0;;0.0;1.0;1.0
2023-11-14;29.7;76.0;;8.0;1.0;1.0
2023-11-15;29.6;74.0;39.0;0.0;1.0;1.0
2023-11-16;29.7;74.0;;4.2;2.0;1.0
2023-11-17;29.8;75.0;11.0;7.6;1.0;1.0
2023-11-18;29.2;76.0;0.4;6.2;1.0;1.0
2023-11-19;29.6;78.0;1.0;6.0;1.0;1.0
2023-11-20;30.4;69.0;4.0;7.8;1.0;1.0
2023-11-21;30.2;72.0;0.0;6.3;2.0;1.0
2023-11-22;30.0;73.0;15.0;6.8;2.0;1.0
2023-11-23;29.2;78.0;3.1;3.0;1.0;1.0
2023-11-24;28.6;82.0;0.0;0.0;1.0;1.0
2023-11-25;26.1;89.0;3.5;1.0;0.0;1.0
2023-11-26;29.1;75.0;18.1;0.0;1.0;1.0
2023-11-27;28.2;78.0;;5.2;1.0;1.0
2023-11-28;29.5;73.0;;0.0;0.0;1.0
2023-11-29;29.8;76.0;2.5;;0.0;1.0
2023-11-30;28.3;80.0;18.1;6.2;1.0;1.0
2023-12-01;26.9;87.0;3.0;2.3;0.0;1.0
2023-12-02;29.4;74.0;1.1;0.0;1.0;1.0
2023-12-03;28.6;78.0;;6.1;1.0;1.0
2023-12-04;26.7;86.0;2.3;1.7;0.0;1.0
2023-12-05;29.4;74.0;1.4;0.0;1.0;1.0
2023-12-06;29.4;74.0;;6.5;1.0;1.0
2023-12-07;29.2;79.0;0.0;6.7;1.0;1.0
2023-12-08;29.4;76.0;0.0;0.6;1.0;1.0
2023-12-09;29.1;76.0;0.0;3.6;1.0;1.0
2023-12-10;29.2;77.0;0.0;1.0;1.0;1.0
2023-12-11;30.0;72.0;0.0;0.0;2.0;1.0
2023-12-12;29.7;71.0;0.0;7.0;1.0;1.0
2023-12-13;30.1;70.0;0.0;3.8;2.0;1.0
2023-12-14;30.6;69.0;0.0;6.8;2.0;1.0
2023-12-15;30.4;65.0;;7.6;1.0;1.0
2023-12-16;30.3;64.0;0.0;5.2;2.0;1.0
2023-12-17;30.6;65.0;0.0;7.7;2.0;8.0
2023-12-18;30.7;66.0;0.0;7.8;1.0;1.0
2023-12-19;30.3;62.0;;7.5;2.0;1.0
2023-12-20;30.3;56.0;;;1.0;1.0
2023-12-21;29.9;62.0;0.0;8.0;2.0;1.0
2023-12-22;30.1;65.0;;7.0;1.0;1.0
2023-12-23;31.0;65.0;;1.8;1.0;1.0
2023-12-24;30.6;70.0;0.0;6.6;1.0;1.0
2023-12-25;28.3;80.0;0.0;5.3;1.0;1.0
2023-12-26;28.4;80.0;36.0;2.0;1.0;1.0
2023-12-27;28.7;80.0;0.0;0.0;1.0;1.0
2023-12-28;29.9;76.0;2.5;3.8;1.0;1.0
2023-12-29;29.3;79.0;;;1.0;1.0
2023-12-30;29.2;79.0;2.0;4.0;1.0;1.0
2023-12-31;28.3;80.0;0.0;2.4;1.0;1.0
2024-01-01;29.6;77.0;1.8;5.6;1.0;1.0
2024-01-02;29.7;78.0;0.0;0.7;1.0;1.0
2024-01-03;28.0;84.0;2.5;0.0;1.0;1.0
2024-01-04;27.1;87.0;8.5;0.0;0.0;1.0
2024-01-05;28.1;80.0;30.8;0.0;1.0;1.0
