time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-03-25;53.0;69.0;46.0;11.0;29.0;25.0;27.0;88.0;5.0;9.4;291.0
2023-03-26;45.0;64.0;45.0;13.0;25.0;25.0;27.8;86.0;12.4;8.3;288.0
2023-03-27;35.0;52.0;45.0;13.0;27.0;25.0;27.9;85.0;0.3;7.5;293.0
2023-03-28;55.0;72.0;46.0;17.0;19.0;34.0;27.3;86.0;4.8;5.5;2.0
2023-03-29;56.0;74.0;46.0;16.0;21.0;33.0;27.0;86.0;11.1;6.3;312.0
2023-03-30;49.0;66.0;52.0;15.0;22.0;32.0;27.6;89.0;16.9;8.3;278.0
2023-03-31;45.0;57.0;49.0;13.0;22.0;29.0;29.2;77.0;1.9;11.5;276.0
2023-04-01;34.0;44.0;51.0;11.0;20.0;19.0;27.7;81.0;3.1;14.4;258.0
2023-04-02;29.0;46.0;49.0;12.0;24.0;17.0;28.4;81.0;1.8;11.7;274.0
2023-04-03;53.0;71.0;52.0;13.0;19.0;29.0;28.5;79.0;2.1;8.2;272.0
2023-04-04;46.0;61.0;51.0;13.0;12.0;24.0;28.7;76.0;0.7;10.9;274.0
2023-04-05;44.0;68.0;51.0;14.0;22.0;29.0;29.2;73.0;0.0;7.0;306.0
2023-04-06;47.0;63.0;49.0;13.0;14.0;31.0;30.2;66.0;0.0;10.2;278.0
2023-04-07;43.0;65.0;52.0;12.0;21.0;23.0;29.2;73.0;0.8;6.6;342.0
2023-04-08;59.0;82.0;51.0;12.0;35.0;26.0;29.2;77.0;2.2;6.6;293.0
2023-04-09;57.0;79.0;52.0;13.0;23.0;27.0;29.3;75.0;2.3;8.8;285.0
2023-04-10;38.0;53.0;48.0;11.0;17.0;18.0;28.8;74.0;0.0;16.5;268.0
2023-04-11;27.0;51.0;47.0;12.0;14.0;17.0;29.3;76.0;4.1;15.3;260.0
2023-04-12;31.0;51.0;46.0;11.0;9.0;14.0;29.5;74.0;1.4;15.3;266.0
2023-04-13;27.0;49.0;45.0;10.0;11.0;14.0;29.5;75.0;1.4;12.4;257.0
2023-04-14;33.0;57.0;48.0;12.0;14.0;26.0;28.2;83.0;3.5;9.6;271.0
2023-04-15;65.0;94.0;52.0;12.0;27.0;53.0;28.9;81.0;7.1;7.7;297.0
2023-04-16;48.0;63.0;50.0;11.0;21.0;22.0;28.6;82.0;5.5;7.2;283.0
2023-04-17;42.0;58.0;48.0;11.0;18.0;24.0;29.7;81.0;7.2;6.0;50.0
2023-04-18;51.0;72.0;52.0;9.0;27.0;26.0;29.2;84.0;7.2;7.0;46.0
2023-04-19;51.0;75.0;50.0;9.0;33.0;27.0;28.6;84.0;15.5;6.8;114.0
2023-04-20;43.0;60.0;45.0;11.0;35.0;27.0;29.1;83.0;4.6;5.7;309.0
2023-04-21;49.0;71.0;46.0;9.0;36.0;23.0;29.5;83.0;1.8;6.0;20.0
2023-04-22;45.0;66.0;46.0;11.0;32.0;18.0;30.2;80.0;2.3;7.4;64.0
2023-04-23;45.0;64.0;50.0;8.0;38.0;12.0;29.6;85.0;9.1;8.4;81.0
2023-04-24;42.0;64.0;47.0;9.0;32.0;21.0;29.2;83.0;3.7;6.4;310.0
2023-04-25;33.0;48.0;45.0;9.0;25.0;19.0;28.8;83.0;2.1;5.2;72.0
2023-04-26;35.0;53.0;46.0;11.0;23.0;21.0;29.1;81.0;3.2;6.3;82.0
2023-04-27;50.0;68.0;45.0;11.0;30.0;31.0;30.0;82.0;4.7;7.2;86.0
2023-04-28;34.0;51.0;45.0;8.0;29.0;21.0;29.6;83.0;2.1;6.8;39.0
2023-04-29;52.0;81.0;46.0;13.0;36.0;31.0;29.5;81.0;0.6;6.8;282.0
2023-04-30;61.0;87.0;50.0;10.0;42.0;26.0;29.8;81.0;21.5;6.2;62.0
2023-05-01;49.0;69.0;47.0;9.0;34.0;21.0;28.8;84.0;2.9;6.4;306.0
2023-05-02;64.0;98.0;50.0;11.0;34.0;32.0;29.4;84.0;5.9;6.5;47.0
2023-05-03;52.0;68.0;50.0;9.0;32.0;29.0;29.5;84.0;6.3;6.6;117.0
2023-05-04;35.0;51.0;46.0;10.0;29.0;31.0;29.8;85.0;7.9;6.5;88.0
2023-05-05;45.0;63.0;46.0;12.0;38.0;35.0;28.6;85.0;7.1;6.9;278.0
2023-05-06;49.0;66.0;45.0;9.0;41.0;31.0;29.5;82.0;4.7;4.5;3.0
2023-05-07;54.0;80.0;49.0;12.0;33.0;34.0;28.6;86.0;6.1;7.5;296.0
2023-05-08;51.0;69.0;48.0;11.0;40.0;30.0;28.7;84.0;4.9;5.4;54.0
2023-05-09;48.0;71.0;50.0;11.0;25.0;34.0;30.4;80.0;0.5;8.3;102.0
2023-05-10;65.0;92.0;52.0;10.0;34.0;30.0;30.7;78.0;2.4;8.7;87.0
2023-05-11;61.0;84.0;53.0;10.0;33.0;25.0;29.1;77.0;0.4;14.0;90.0
2023-05-12;31.0;41.0;52.0;9.0;15.0;16.0;30.8;77.0;0.6;13.0;72.0
2023-05-13;39.0;63.0;52.0;10.0;28.0;24.0;29.1;85.0;9.5;7.3;28.0
2023-05-14;37.0;63.0;50.0;9.0;30.0;29.0;29.5;72.0;1.3;7.3;110.0
2023-05-15;46.0;71.0;51.0;12.0;21.0;32.0;29.5;74.0;0.0;6.4;328.0
2023-05-16;56.0;77.0;51.0;12.0;21.0;35.0;30.0;74.0;0.5;6.8;54.0
2023-05-17;61.0;81.0;52.0;11.0;18.0;32.0;30.3;75.0;1.5;7.4;43.0
2023-05-18;57.0;84.0;53.0;10.0;25.0;25.0;29.1;81.0;2.8;6.1;350.0
2023-05-19;60.0;91.0;52.0;12.0;24.0;34.0;29.7;79.0;3.4;6.9;79.0
2023-05-20;63.0;93.0;53.0;10.0;23.0;28.0;29.6;80.0;0.9;9.4;108.0
2023-05-21;66.0;99.0;52.0;10.0;27.0;27.0;29.2;81.0;3.4;7.0;43.0
2023-05-22;60.0;86.0;47.0;11.0;37.0;36.0;29.4;81.0;1.8;5.5;107.0
2023-05-23;68.0;96.0;51.0;10.0;21.0;35.0;29.5;79.0;1.0;5.4;355.0
2023-05-24;66.0;101.0;52.0;11.0;16.0;38.0;29.6;79.0;2.3;6.3;99.0
2023-05-25;64.0;93.0;52.0;14.0;25.0;32.0;29.8;78.0;2.1;5.8;341.0
2023-05-26;66.0;99.0;39.0;15.0;30.0;32.0;30.2;77.0;1.6;7.6;112.0
2023-05-27;67.0;98.0;41.0;11.0;32.0;26.0;28.8;78.0;0.5;6.5;18.0
2023-05-28;57.0;89.0;38.0;10.0;32.0;29.0;29.3;79.0;2.5;6.4;329.0
2023-05-29;65.0;98.0;38.0;11.0;26.0;30.0;29.8;78.0;1.0;5.7;316.0
2023-05-30;62.0;93.0;39.0;10.0;31.0;27.0;29.6;80.0;2.3;7.7;311.0
2023-05-31;60.0;89.0;37.0;10.0;31.0;36.0;29.8;76.0;0.8;5.9;14.0
2023-06-01;58.0;84.0;40.0;11.0;29.0;28.0;29.7;75.0;2.5;9.1;52.0
2023-06-02;62.0;91.0;41.0;10.0;31.0;19.0;30.2;75.0;0.0;8.0;75.0
2023-06-03;60.0;86.0;40.0;10.0;26.0;19.0;30.1;76.0;0.8;7.5;71.0
2023-06-04;59.0;89.0;37.0;10.0;25.0;22.0;29.6;79.0;0.7;5.7;99.0
2023-06-05;54.0;75.0;36.0;12.0;29.0;24.0;29.6;79.0;1.6;7.0;18.0
2023-06-06;59.0;76.0;35.0;12.0;21.0;27.0;27.7;84.0;2.4;5.6;9.0
2023-06-07;54.0;78.0;38.0;12.0;20.0;31.0;29.6;81.0;5.4;7.0;143.0
2023-06-08;54.0;81.0;44.0;11.0;21.0;22.0;29.7;80.0;4.2;7.9;125.0
2023-06-09;56.0;75.0;43.0;13.0;15.0;23.0;29.9;77.0;1.9;8.7;102.0
2023-06-10;48.0;74.0;38.0;11.0;31.0;25.0;29.6;78.0;0.7;6.2;225.0
2023-06-11;63.0;92.0;42.0;11.0;32.0;23.0;29.2;72.0;0.0;7.8;105.0
2023-06-12;60.0;89.0;38.0;12.0;23.0;24.0;29.8;76.0;0.5;9.0;90.0
2023-06-13;57.0;80.0;44.0;10.0;19.0;26.0;30.4;78.0;3.9;7.4;106.0
2023-06-14;56.0;81.0;39.0;11.0;24.0;26.0;29.8;83.0;25.6;7.0;310.0
2023-06-15;60.0;92.0;40.0;11.0;20.0;32.0;29.3;81.0;17.0;8.0;1.0
2023-06-16;56.0;75.0;36.0;11.0;28.0;25.0;25.8;92.0;7.7;6.6;308.0
2023-06-17;57.0;85.0;46.0;13.0;23.0;28.0;28.1;82.0;2.9;8.6;57.0
2023-06-18;58.0;87.0;44.0;10.0;21.0;27.0;28.8;85.0;4.3;8.7;92.0
2023-06-19;42.0;64.0;36.0;11.0;31.0;25.0;27.1;88.0;9.3;6.2;62.0
