"time","station_id","tavg","rhum","prcp","wspd","wdir"
2023-05-20 00:00:00.000,96745,29.6,80,0.9,3,W
2023-05-21 00:00:00.000,96745,29.2,81,3.4,2,C
2023-05-22 00:00:00.000,96745,29.4,81,1.8,2,C
2023-05-23 00:00:00.000,96745,29.5,79,1.0,2,C
2023-05-24 00:00:00.000,96745,29.6,79,2.3,2,C
2023-05-25 00:00:00.000,96745,29.8,78,2.1,2,C
2023-05-26 00:00:00.000,96745,30.2,77,1.6,2,C
2023-05-27 00:00:00.000,96745,28.8,78,0.5,2,C
2023-05-28 00:00:00.000,96745,29.3,79,2.5,2,C
2023-05-29 00:00:00.000,96745,29.8,78,1.0,2,C
2023-05-30 00:00:00.000,96745,29.6,80,2.3,2,C
2023-05-31 00:00:00.000,96745,29.8,76,0.8,2,C
2023-06-01 00:00:00.000,96745,29.7,75,2.5,3,W
2023-06-02 00:00:00.000,96745,30.2,75,0.0,2,C
2023-06-03 00:00:00.000,96745,30.1,76,0.8,2,C
2023-06-04 00:00:00.000,96745,29.6,79,0.7,2,C
2023-06-05 00:00:00.000,96745,29.6,79,1.6,2,C
2023-06-06 00:00:00.000,96745,27.7,84,2.4,2,C
2023-06-07 00:00:00.000,96745,29.6,81,5.4,2,C
2023-06-08 00:00:00.000,96745,29.7,80,4.2,2,C
2023-06-09 00:00:00.000,96745,29.9,77,1.9,2,C
2023-06-10 00:00:00.000,96745,29.6,78,0.7,2,C
2023-06-11 00:00:00.000,96745,29.2,72,0.0,2,C
2023-06-12 00:00:00.000,96745,29.8,76,0.5,2,C
2023-06-13 00:00:00.000,96745,30.4,78,3.9,2,C
2023-06-14 00:00:00.000,96745,29.8,83,25.6,2,C
2023-06-15 00:00:00.000,96745,29.3,81,17.0,2,C
2023-06-16 00:00:00.000,96745,25.8,92,7.7,2,C
2023-06-17 00:00:00.000,96745,28.1,82,2.9,2,C
2023-06-18 00:00:00.000,96745,28.8,85,4.3,2,C
2023-06-19 00:00:00.000,96745,27.1,88,9.3,2,C
2023-06-20 00:00:00.000,96745,29.5,80,0.1,2,C
2023-06-21 00:00:00.000,96745,29.6,84,2.9,2,C
2023-06-22 00:00:00.000,96745,29.5,80,0.5,2,C
2023-06-23 00:00:00.000,96745,29.5,82,2.5,2,C
2023-06-24 00:00:00.000,96745,28.7,82,1.0,2,C
2023-06-25 00:00:00.000,96745,28.0,84,7.6,2,C
2023-06-26 00:00:00.000,96745,28.7,83,0.0,2,C
2023-06-27 00:00:00.000,96745,28.8,78,1.9,2,C
2023-06-28 00:00:00.000,96745,29.5,76,2.0,2,C
2023-06-29 00:00:00.000,96745,29.0,77,4.1,2,C
2023-06-30 00:00:00.000,96745,29.9,78,4.1,2,C
2023-07-01 00:00:00.000,96745,29.3,80,7.3,2,C
2023-07-02 00:00:00.000,96745,29.0,81,2.8,2,C
2023-07-03 00:00:00.000,96745,29.3,79,2.7,2,C
2023-07-04 00:00:00.000,96745,29.4,76,1.0,2,C
2023-07-05 00:00:00.000,96745,29.8,78,1.2,2,C
2023-07-06 00:00:00.000,96745,27.8,86,8.9,2,C
2023-07-07 00:00:00.000,96745,27.1,86,1.0,2,C
2023-07-08 00:00:00.000,96745,28.3,84,7.3,2,C
2023-07-09 00:00:00.000,96745,29.3,77,0.8,2,C
2023-07-10 00:00:00.000,96745,29.5,81,8.6,3,W
2023-07-11 00:00:00.000,96745,29.6,78,2.4,2,C
2023-07-12 00:00:00.000,96745,29.3,77,0.6,2,C
2023-07-13 00:00:00.000,96745,29.2,73,0.1,2,C
2023-07-14 00:00:00.000,96745,29.3,76,2.3,2,C
2023-07-15 00:00:00.000,96745,29.2,79,1.7,2,C
2023-07-16 00:00:00.000,96745,29.4,78,1.7,2,C
2023-07-17 00:00:00.000,96745,29.4,72,0.0,2,C
2023-07-18 00:00:00.000,96745,29.1,67,0.1,3,W
2023-07-19 00:00:00.000,96745,29.4,62,0.0,2,C
2023-07-20 00:00:00.000,96745,28.7,63,0.0,2,C
2023-07-21 00:00:00.000,96745,29.0,68,0.0,2,C
2023-07-22 00:00:00.000,96745,29.3,70,0.0,2,C
2023-07-23 00:00:00.000,96745,29.3,73,0.0,2,C
2023-07-24 00:00:00.000,96745,28.6,81,0.7,2,C
2023-07-25 00:00:00.000,96745,28.5,80,2.8,2,C
2023-07-26 00:00:00.000,96745,28.3,80,0.9,2,C
2023-07-27 00:00:00.000,96745,28.8,73,1.1,2,C
2023-07-28 00:00:00.000,96745,29.2,70,0.2,2,C
2023-07-29 00:00:00.000,96745,28.9,69,0.0,3,W
2023-07-30 00:00:00.000,96745,28.7,67,0.0,3,W
2023-07-31 00:00:00.000,96745,28.7,68,0.0,3,W
2023-08-01 00:00:00.000,96745,29.3,69,0.0,3,W
2023-08-02 00:00:00.000,96745,29.2,79,3.0,2,C
2023-08-03 00:00:00.000,96745,29.8,79,2.7,2,C
2023-08-04 00:00:00.000,96745,29.6,75,0.0,2,C
2023-08-05 00:00:00.000,96745,29.3,72,0.0,2,C
2023-08-06 00:00:00.000,96745,29.2,74,0.0,2,C
2023-08-07 00:00:00.000,96745,29.4,76,0.7,2,C
2023-08-08 00:00:00.000,96745,29.3,77,0.2,3,W
2023-08-09 00:00:00.000,96745,29.1,75,0.0,2,C
2023-08-10 00:00:00.000,96745,28.9,76,0.9,3,W
2023-08-11 00:00:00.000,96745,28.8,74,0.5,2,C
2023-08-12 00:00:00.000,96745,27.3,70,0.0,3,W
2023-08-13 00:00:00.000,96745,29.0,72,0.0,3,W
2023-08-14 00:00:00.000,96745,28.9,71,0.0,2,C
2023-08-15 00:00:00.000,96745,29.0,71,0.0,3,W
2023-08-16 00:00:00.000,96745,29.1,68,0.4,2,C
2023-08-17 00:00:00.000,96745,28.8,67,0.0,3,W
2023-08-18 00:00:00.000,96745,28.7,69,0.2,3,W
2023-08-19 00:00:00.000,96745,29.2,71,0.0,3,W
2023-08-20 00:00:00.000,96745,29.6,71,0.0,3,W
2023-08-21 00:00:00.000,96745,29.3,68,0.2,2,C
2023-08-22 00:00:00.000,96745,29.2,71,1.6,3,W
2023-08-23 00:00:00.000,96745,29.2,71,0.1,3,W
2023-08-24 00:00:00.000,96745,29.4,71,0.0,2,C
2023-08-25 00:00:00.000,96745,29.3,72,0.7,2,C
2023-08-26 00:00:00.000,96745,29.3,72,0.1,2,C
2023-08-27 00:00:00.000,96745,28.7,78,1.5,2,C
2023-08-28 00:00:00.000,96745,28.7,76,2.1,2,C
2023-08-29 00:00:00.000,96745,29.0,71,0.0,2,C
2023-08-30 00:00:00.000,96745,28.6,71,0.0,3,W
2023-08-31 00:00:00.000,96745,28.6,71,0.0,2,C
2023-09-01 00:00:00.000,96745,28.6,72,0.0,2,C
2023-09-02 00:00:00.000,96745,29.1,72,0.0,2,C
2023-09-03 00:00:00.000,96745,27.6,64,0.0,4,W
2023-09-04 00:00:00.000,96745,28.4,64,0.0,3,W
2023-09-05 00:00:00.000,96745,28.9,64,0.0,3,W
2023-09-06 00:00:00.000,96745,29.3,65,0.0,2,C
2023-09-07 00:00:00.000,96745,29.0,69,0.0,2,C
2023-09-08 00:00:00.000,96745,29.5,75,3.0,2,C
2023-09-09 00:00:00.000,96745,29.3,71,0.9,2,C
2023-09-10 00:00:00.000,96745,28.7,72,0.4,2,C
2023-09-11 00:00:00.000,96745,29.1,66,0.0,2,C
2023-09-12 00:00:00.000,96745,30.1,65,0.0,3,W
2023-09-13 00:00:00.000,96745,29.8,65,0.0,2,C
2023-09-14 00:00:00.000,96745,29.4,66,0.3,3,W
2023-09-15 00:00:00.000,96745,29.7,66,0.0,3,W
2023-09-16 00:00:00.000,96745,29.6,70,0.0,3,W
2023-09-17 00:00:00.000,96745,29.8,69,1.3,2,C
2023-09-18 00:00:00.000,96745,29.6,72,0.9,2,C
2023-09-19 00:00:00.000,96745,30.3,79,7.7,2,C
2023-09-20 00:00:00.000,96745,30.0,76,1.4,2,C
2023-09-21 00:00:00.000,96745,29.3,74,5.0,2,C
2023-09-22 00:00:00.000,96745,29.2,67,0.0,3,W
2023-09-23 00:00:00.000,96745,28.9,69,0.0,2,C
2023-09-24 00:00:00.000,96745,28.8,69,0.2,2,C
2023-09-25 00:00:00.000,96745,29.9,62,0.0,2,C
2023-09-26 00:00:00.000,96745,29.8,64,0.0,3,W
2023-09-27 00:00:00.000,96745,30.2,57,0.0,3,W
2023-09-28 00:00:00.000,96745,30.6,57,0.0,3,W
2023-09-29 00:00:00.000,96745,31.0,65,0.4,2,C
2023-09-30 00:00:00.000,96745,29.6,70,0.0,3,W
2023-10-01 00:00:00.000,96745,29.1,71,0.4,2,C
2023-10-02 00:00:00.000,96745,29.4,65,0.1,3,W
2023-10-03 00:00:00.000,96745,29.5,68,0.0,3,W
2023-10-04 00:00:00.000,96745,29.5,73,0.4,2,C
2023-10-05 00:00:00.000,96745,30.2,73,0.0,2,C
2023-10-06 00:00:00.000,96745,29.7,73,1.4,2,C
2023-10-07 00:00:00.000,96745,29.8,73,2.4,2,C
2023-10-08 00:00:00.000,96745,30.1,70,0.1,2,C
2023-10-09 00:00:00.000,96745,30.4,74,0.5,3,W
2023-10-10 00:00:00.000,96745,30.6,72,2.2,3,W
2023-10-11 00:00:00.000,96745,30.3,73,2.4,2,C
2023-10-12 00:00:00.000,96745,30.8,71,0.0,3,W
2023-10-13 00:00:00.000,96745,30.3,70,0.0,3,W
2023-10-14 00:00:00.000,96745,30.5,69,0.2,2,C
2023-10-15 00:00:00.000,96745,30.8,67,0.6,2,C
2023-10-16 00:00:00.000,96745,30.7,70,0.0,3,W
2023-10-17 00:00:00.000,96745,31.8,62,0.2,3,W
2023-10-18 00:00:00.000,96745,30.6,63,0.0,3,W
2023-10-19 00:00:00.000,96745,30.6,66,0.0,4,W
