tanggal;pm10;pm25;so2;co;o3;no2
2023-08-11;66.0;96.0;40.0;10.0;29.0;29.0
2023-08-12;66.0;98.0;42.0;12.0;28.0;28.0
2023-08-13;59.0;87.0;43.0;12.0;27.0;24.0
2023-08-14;56.0;82.0;42.0;12.0;30.0;25.0
2023-08-15;61.0;90.0;46.0;11.0;26.0;33.0
2023-08-16;63.0;93.0;42.0;12.0;28.0;35.0
2023-08-17;61.0;87.0;42.0;11.0;21.0;29.0
2023-08-18;46.0;67.0;40.0;12.0;24.0;22.0
2023-08-19;56.0;84.0;41.0;12.0;28.0;28.0
2023-08-20;59.0;86.0;42.0;13.0;30.0;20.0
2023-08-21;57.0;82.0;40.0;13.0;28.0;21.0
2023-08-22;59.0;88.0;42.0;14.0;25.0;30.0
2023-08-23;64.0;96.0;41.0;14.0;29.0;37.0
2023-08-24;64.0;89.0;45.0;12.0;26.0;27.0
2023-08-25;60.0;90.0;45.0;13.0;40.0;35.0
2023-08-26;77.0;84.0;42.0;8.0;30.0;23.0
2023-08-27;64.0;94.0;40.0;12.0;42.0;23.0
2023-08-28;62.0;85.0;41.0;13.0;28.0;30.0
2023-08-29;63.0;90.0;45.0;14.0;23.0;30.0
2023-08-30;64.0;90.0;44.0;13.0;32.0;32.0
2023-08-31;68.0;104.0;44.0;13.0;39.0;34.0
2023-09-01;71.0;101.0;42.0;12.0;35.0;37.0
2023-09-02;74.0;108.0;43.0;11.0;34.0;33.0
2023-09-03;63.0;93.0;43.0;11.0;42.0;20.0
2023-09-04;62.0;89.0;45.0;11.0;31.0;29.0
2023-09-05;66.0;99.0;46.0;16.0;27.0;36.0
2023-09-06;60.0;93.0;47.0;16.0;32.0;35.0
2023-09-07;62.0;95.0;47.0;15.0;33.0;30.0
2023-09-08;66.0;102.0;49.0;14.0;24.0;34.0
2023-09-09;46.0;88.0;54.0;13.0;26.0;27.0
2023-09-10;58.0;82.0;41.0;11.0;29.0;23.0
2023-09-11;62.0;91.0;41.0;10.0;35.0;29.0
