Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
22-05-2021;28,9;76;0;6,5;1;C ;-6.155559;106.84;4
23-05-2021;29,1;76;8888;2,7;1;C ;-6.155559;106.84;4
24-05-2021;29,5;77;;;1;C ;-6.155559;106.84;4
25-05-2021;28,5;77;10;2;1;C ;-6.155559;106.84;4
26-05-2021;29,1;76;0;5,2;2;C ;-6.155559;106.84;4
27-05-2021;29,7;73;0;6,4;1;C ;-6.155559;106.84;4
28-05-2021;29,8;74;0;6,7;2;C ;-6.155559;106.84;4
29-05-2021;27,5;83;;6,5;1;C ;-6.155559;106.84;4
30-05-2021;28,5;80;9,5;0,4;1;C ;-6.155559;106.84;4
31-05-2021;29,3;79;;6;1;C ;-6.155559;106.84;4
01-06-2021;28,8;81;;;1;C ;-6.155559;106.84;4
02-06-2021;29;80;0,2;5,5;1;C ;-6.155559;106.84;4
03-06-2021;28,9;83;0;6,7;1;C ;-6.155559;106.84;4
04-06-2021;30,2;77;6,7;1,8;1;C ;-6.155559;106.84;4
05-06-2021;29,3;78;8888;5;1;C ;-6.155559;106.84;4
06-06-2021;29,5;78;0;5,6;1;C ;-6.155559;106.84;4
07-06-2021;28,1;80;31,4;6,5;1;C ;-6.155559;106.84;4
08-06-2021;29,1;76;;5;2;C ;-6.155559;106.84;4
09-06-2021;29,1;77;2,2;6;1;C ;-6.155559;106.84;4
10-06-2021;29,4;76;0;4,7;2;C ;-6.155559;106.84;4
11-06-2021;28,7;79;0;4,4;1;C ;-6.155559;106.84;4
12-06-2021;28,9;78;16;2,5;1;C ;-6.155559;106.84;4
13-06-2021;29,5;76;1;6;2;C ;-6.155559;106.84;4
14-06-2021;28,7;78;8888;6,3;1;C ;-6.155559;106.84;4
15-06-2021;28,1;78;0,4;2,5;2;C ;-6.155559;106.84;4
16-06-2021;28,1;80;;2;1;C ;-6.155559;106.84;4
17-06-2021;27,8;83;1,4;2;1;C ;-6.155559;106.84;4
18-06-2021;27,4;84;0,2;0,3;1;C ;-6.155559;106.84;4
19-06-2021;26;92;0,9;1,2;1;C ;-6.155559;106.84;4
20-06-2021;27;83;16,7;0;1;C ;-6.155559;106.84;4
21-06-2021;26,5;85;1,6;3;2;C ;-6.155559;106.84;4
22-06-2021;27,6;79;8888;3,7;1;C ;-6.155559;106.84;4
23-06-2021;27,8;81;0;5,5;1;C ;-6.155559;106.84;4
24-06-2021;27,3;81;;0;1;C ;-6.155559;106.84;4
25-06-2021;28,5;78;8888;1,2;1;C ;-6.155559;106.84;4
26-06-2021;29;78;0;5,4;1;C ;-6.155559;106.84;4
27-06-2021;28,9;78;0;4,5;1;C ;-6.155559;106.84;4
28-06-2021;28,4;78;8888;4;1;C ;-6.155559;106.84;4
29-06-2021;28,5;74;;1;2;C ;-6.155559;106.84;4
30-06-2021;27,5;82;0,4;4,2;1;C ;-6.155559;106.84;4
01-07-2021;26,3;86;1;2;1;C ;-6.155559;106.84;4
02-07-2021;28,3;75;12;1;1;C ;-6.155559;106.84;4
03-07-2021;29;73;0;6,8;1;C ;-6.155559;106.84;4
04-07-2021;29;74;;6,5;1;C ;-6.155559;106.84;4
05-07-2021;28,6;76;0;6,6;1;C ;-6.155559;106.84;4
06-07-2021;28,6;74;;5,5;1;C ;-6.155559;106.84;4
07-07-2021;28,5;70;;6,5;1;C ;-6.155559;106.84;4
08-07-2021;28,5;69;0;4,6;1;C ;-6.155559;106.84;4
09-07-2021;29,3;71;0;4;1;C ;-6.155559;106.84;4
10-07-2021;29,6;73;;5,8;2;E ;-6.155559;106.84;4
11-07-2021;29;77;;3;2;C ;-6.155559;106.84;4
12-07-2021;29,3;69;0;5,2;1;C ;-6.155559;106.84;4
13-07-2021;27,5;78;0;6,6;2;C ;-6.155559;106.84;4
14-07-2021;28,1;75;;0;1;C ;-6.155559;106.84;4
15-07-2021;28,3;75;8888;1,4;1;C ;-6.155559;106.84;4
16-07-2021;28,7;68;0;4,6;1;C ;-6.155559;106.84;4
17-07-2021;29,2;69;0;5,5;1;C ;-6.155559;106.84;4
18-07-2021;28,6;72;;6,5;1;C ;-6.155559;106.84;4
19-07-2021;29;75;;6,5;0;C ;-6.155559;106.84;4
20-07-2021;28,4;79;8888;1,2;1;C ;-6.155559;106.84;4
21-07-2021;28,7;77;0;5;2;C ;-6.155559;106.84;4
22-07-2021;28,3;78;8888;4,2;1;C ;-6.155559;106.84;4
23-07-2021;27,1;82;17,8;0,4;2;C ;-6.155559;106.84;4
24-07-2021;27,8;81;2,5;1,8;1;C ;-6.155559;106.84;4
25-07-2021;27,7;79;2,5;2,6;1;C ;-6.155559;106.84;4
26-07-2021;28,3;69;;6,5;1;C ;-6.155559;106.84;4
27-07-2021;28,4;66;;6,5;1;C ;-6.155559;106.84;4
28-07-2021;28,5;64;0;6,9;1;C ;-6.155559;106.84;4
29-07-2021;28,6;67;0;6,5;2;C ;-6.155559;106.84;4
30-07-2021;29;72;;5,7;1;C ;-6.155559;106.84;4
31-07-2021;29;70;;7;2;C ;-6.155559;106.84;4
01-08-2021;28,3;78;3,3;3;2;C ;-6.155559;106.84;4
02-08-2021;28,6;76;0;5,8;2;C ;-6.155559;106.84;4
03-08-2021;28,7;75;;4,9;2;C ;-6.155559;106.84;4
04-08-2021;29,1;70;;6;2;SE;-6.155559;106.84;4
05-08-2021;27,4;81;0;6,3;1;C ;-6.155559;106.84;4
06-08-2021;28,3;72;6,2;2,5;2;C ;-6.155559;106.84;4
07-08-2021;29;74;;6,5;2;E ;-6.155559;106.84;4
08-08-2021;29,3;74;;7,2;2;E ;-6.155559;106.84;4
09-08-2021;29,6;75;0;5,8;2;C ;-6.155559;106.84;4
10-08-2021;27,1;84;66,5;7,4;1;C ;-6.155559;106.84;4
