periode_data;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;critical;kategori
202301;30/01/2023;DKI4;51;65;53;14;14;13;65;PM25;SEDANG
202301;30/01/2023;DKI5;42;-;25;17;26;5;32;PM10;BAIK
202301;31/01/2023;DKI1;50;65;55;9;16;30;65;PM25;SEDANG
202301;31/01/2023;DKI2;42;60;-;9;19;22;60;PM25;SEDANG
202301;31/01/2023;DKI3;65;55;16;22;16;15;65;PM10;SEDANG
202301;31/01/2023;DKI4;56;90;54;16;15;20;90;PM25;SEDANG
202301;31/01/2023;DKI5;38;-;42;16;28;8;50;PM10;BAIK
202302;01/02/2023;DKI2;44;55;11;9;28;21;55;PM25;SEDANG
202302;01/02/2023;DKI1;46;57;51;9;23;32;57;PM25;SEDANG
202302;01/02/2023;DKI3;55;69;55;8;12;2;69;PM25;SEDANG
202302;01/02/2023;DKI4;51;65;55;12;13;16;65;PM25;SEDANG
202302;01/02/2023;DKI5;35;-;41;16;29;8;41;SO2;BAIK
202302;02/02/2023;DKI2;41;53;59;9;30;25;59;SO2;SEDANG
202302;02/02/2023;DKI1;49;61;43;9;26;29;61;PM25;SEDANG
202302;02/02/2023;DKI3;52;72;53;12;9;3;72;PM25;SEDANG
202302;02/02/2023;DKI4;46;66;53;13;8;15;66;PM25;SEDANG
202302;02/02/2023;DKI5;38;-;28;18;31;7;38;PM10;BAIK
202302;03/02/2023;DKI1;28;42;50;5;21;24;50;SO2;BAIK
202302;03/02/2023;DKI2;26;39;21;10;25;21;39;PM25;BAIK
202302;03/02/2023;DKI3;24;50;63;6;11;3;63;SO2;SEDANG
202302;03/02/2023;DKI4;40;53;54;10;9;12;54;SO2;SEDANG
202302;03/02/2023;DKI5;19;-;36;14;25;4;36;SO2;BAIK
202302;04/02/2023;DKI1;55;71;53;8;25;27;71;PM25;SEDANG
202302;04/02/2023;DKI2;54;68;24;10;27;27;68;PM25;SEDANG
202302;04/02/2023;DKI3;3;65;89;11;9;11;89;SO2;SEDANG
202302;04/02/2023;DKI4;55;74;55;14;9;12;74;PM25;SEDANG
202302;04/02/2023;DKI5;50;-;47;22;25;-;50;PM10;BAIK
202302;05/02/2023;DKI1;45;59;45;6;27;17;59;PM25;SEDANG
202302;05/02/2023;DKI2;44;56;19;7;28;18;56;PM25;SEDANG
202302;05/02/2023;DKI3;10;62;79;10;12;8;79;SO2;SEDANG
202302;05/02/2023;DKI4;44;71;54;16;7;10;71;PM25;SEDANG
202302;05/02/2023;DKI5;35;-;31;15;25;5;35;PM10;BAIK
202302;06/02/2023;DKI1;34;51;52;6;15;12;52;SO2;SEDANG
202302;06/02/2023;DKI2;36;53;33;6;17;12;53;PM25;SEDANG
202302;06/02/2023;DKI3;30;49;54;7;12;1;54;SO2;SEDANG
202302;06/02/2023;DKI4;41;56;54;11;12;4;56;PM25;SEDANG
202302;06/02/2023;DKI5;29;-;36;11;24;2;36;SO2;BAIK
202302;07/02/2023;DKI1;41;52;50;7;14;22;52;PM25;SEDANG
202302;07/02/2023;DKI2;39;50;25;7;22;19;50;PM25;BAIK
202302;07/02/2023;DKI3;11;50;62;8;10;3;62;SO2;SEDANG
202302;07/02/2023;DKI4;38;65;54;12;12;10;65;PM25;SEDANG
202302;07/02/2023;DKI5;26;-;32;12;25;4;32;SO2;BAIK
202302;08/02/2023;DKI1;30;38;40;8;31;24;40;SO2;BAIK
202302;08/02/2023;DKI2;30;43;19;9;25;23;43;PM25;BAIK
202302;08/02/2023;DKI3;-;-;-;-;-;-;-;-;TIDAK ADA DATA
202302;08/02/2023;DKI4;44;61;53;15;7;15;61;PM25;SEDANG
202302;08/02/2023;DKI5;-;-;24;16;26;6;26;O3;BAIK
202302;09/02/2023;DKI1;31;43;38;6;11;17;43;PM25;BAIK
202302;09/02/2023;DKI2;38;52;21;8;20;19;52;PM25;SEDANG
202302;09/02/2023;DKI3;37;51;53;8;8;3;53;SO2;SEDANG
202302;09/02/2023;DKI4;44;61;53;13;7;10;61;PM25;SEDANG
202302;09/02/2023;DKI5;22;-;22;12;19;3;22;PM10;BAIK
202302;10/02/2023;DKI1;25;30;37;6;19;15;37;SO2;BAIK
202302;10/02/2023;DKI2;25;32;18;6;17;15;32;PM25;BAIK
202302;10/02/2023;DKI3;24;40;53;7;11;1;53;SO2;SEDANG
202302;10/02/2023;DKI4;31;42;53;10;11;6;53;SO2;SEDANG
202302;10/02/2023;DKI5;16;-;24;11;24;2;24;SO2;BAIK
202302;11/02/2023;DKI1;34;34;35;8;21;19;35;SO2;BAIK
202302;11/02/2023;DKI2;30;34;17;8;20;16;34;PM25;BAIK
202302;11/02/2023;DKI3;29;41;52;7;9;2;52;SO2;SEDANG
202302;11/02/2023;DKI4;38;51;53;12;8;9;53;SO2;SEDANG
202302;11/02/2023;DKI5;26;-;22;15;28;4;28;O3;BAIK
202302;12/02/2023;DKI1;20;16;34;5;23;16;34;SO2;BAIK
202302;12/02/2023;DKI2;20;22;17;6;19;16;22;PM25;BAIK
202302;12/02/2023;DKI3;23;32;52;7;10;2;52;SO2;SEDANG
202302;12/02/2023;DKI4;33;42;53;12;8;10;53;SO2;SEDANG
202302;12/02/2023;DKI5;23;-;22;11;25;5;25;O3;BAIK
202302;13/02/2023;DKI1;28;26;34;5;23;13;34;SO2;BAIK
202302;13/02/2023;DKI2;28;30;17;8;16;15;30;PM25;BAIK
202302;13/02/2023;DKI3;24;31;53;8;8;3;53;SO2;SEDANG
202302;13/02/2023;DKI4;35;51;53;14;7;8;53;SO2;SEDANG
202302;13/02/2023;DKI5;27;-;21;14;20;3;27;PM10;BAIK
